검찰, 김재철 전 MBC사장 6일 오전 10시 피의자 소환(1보)	김재철 전 MBC 사장 연합뉴스 자료사진 기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
'윤송이 父 피살 사건' 금품 노린 계획적 범행으로 결론	경찰 강도살인 혐의 적용해 피의자 검찰에 송치 CBS노컷뉴스 전성무 기자 CCTV에 찍힌 윤송이 엔씨소프트 사장 부친 살해 용의자 허모41씨사진CCTV 영상 캡처 윤송이 엔씨소프트 사장의 부친 피살사건을 수사한 경찰은 피의자가 금품을 노리고 계획적인 강도살인 행각을 벌인 것으로 결론냈다  경기 양평경찰서는 윤 사장의 부친 윤모68씨를 흉기로 수차례 찔러 살해한 혐의강도살인로 허모41·구속씨를 검찰에 송치했다고 3일 밝혔다  허씨는 지난달 25일 오후 7시25분쯤 양평군 서종면 전원주택 앞 마당에서 윤씨를 흉기로 찔러 살해한 혐의를 받고 있다  경찰 조사결과 허씨는 이날 오후 3시쯤 두 차례 범행 현장을 다녀온 뒤 오후 5시10분쯤 현장 주변에 차량을 주차하고 대기하고 있다가 오후 7시25분쯤 귀가하는 윤씨를 마나자마자 미리 준비한 흉기로 윤씨를 살해한 것으로 드러났다  허씨는 처음에는 범행동기에 대해 주차 과정에서 시비가 붙어 우발적으로 살해했다고 진술했다  그러나 경찰은 허씨가 경제적인 어려움을 겪다가 부유층을 대상으로 범행을 물색한 정황을 찾아냈다  금융거래 내역을 조회해 봤더니 허씨가 2015년 1월부터 올해 5월 사이 개인 신용소액대출업체를 통해 총 7회에 걸쳐 3600만원을 대출하고 현재 1900여만원의 채무가 남아있는 사실이 확인됐다  2012년 1월부터 지난 8월까지 모친 명의로 총 13회에 걸쳐 5000여만원을 대출받아 3500만원의 채무가 남아있었다 허씨에게서 확인된 채무만 5400만원에 이르는 것이다  이런 상황에서 허씨는 지난 9월 이후 200회가 넘는 대출금 상환을 요구하는 문자를 받는 등 빚 독촉에 시달려 온 것으로 조사됐다  지난달 18일에는 경기도 용인 소재 고급 주택단지를 배회하고 고가의 외제차량을 30여분 동안 뒤따라 주행 한 뒤 강남 소재 고급 아파트 지하 주차장으로 진입한 행적이 차량 블랙박스 영상을 통해 확인됐다  같은달 21일 이후에는 수갑 고급전원주택 가스총 등을 인터넷에서 검색하고 범행 당일에는 평소와 달리 통화내역이 전혀 없었던 사실도 밝혀졌다  이에 따라 경찰은 허씨가 금품을 빼앗을 목적으로 범행을 계획한 것으로 보고 있다  허씨가 구체적인 범행 동기에 대해 함구하고 있지만 허씨가 범행을 시인한데다 범행 전후 행적 차량과 입고 있던 의류 등에서 윤씨의 혈흔이 나온 사실만으로도 강도살인 혐의 입증에 무리가 없다는 입장이다  다만 허씨의 부친 묘소가 있는 전북 순창 야산에서 발견된 흉기에서 윤씨의 DNA가 발견되지 않아 범행도구로 쓰였는지는 아직 확인되지 않았다  앞서 허씨는 범행 하루 만인 지난달 26일 오후 5시45분쯤 전북 임실 27번 국도변에서 검거됐다   저작권자 © CBS 노컷뉴스wwwnocutnewscokr 무단전재 및 재배포 금지nt   본문 내용  n
[종합] 윤송이 사장 부친 살해 피의자 검찰에 송치	 피의자 일체 진술 거부해 현장검증없이 검찰로   【양평뉴시스】문영일 기자  윤송이 엔씨NC소프트 사장의 부친 윤모68씨 살해 사건 피의자 허모41씨가 3일 오후 3시 검찰에 송치됐다   이 사건을 수사중인 경기 양평경찰서는 피의자 허씨에 대해 현장검증없이 강도살인 혐의로 검찰에 송치했다   경찰은 피의자가 일체의 진술을 거부해 더 이상 조사할 이유가 없다고 판단했으며 피의자는 피해자의 차량과 이동전화 등을 절취한 강도살인 혐의를 받고 있다   경찰은 허씨가 범행을 시인했고 범행 시간대에 현장을 오간 CCTV 분석과 입고 있던 바지와 신발 차에서 피해자 윤씨의 유전자가 검출된 점 등을 근거로 강도살인죄 입증에 무리가 없을 것으로 보고 있다   한편 전북 순창군 팔덕면의 허씨 부친의 묘소 근처에서 발견한 과도에서는 피해자 윤씨의 유전자가 검출되지 않았다는 국립과학수사연구원의 구두통보를 받은 경찰은 다시 정밀 검사를 요청했다   
진보 대학생단체 '트럼프 반대' 국회 기습시위…25명 체포(종합)	도널드 트럼프 미국 대통령 방한에 반대하는 대학생들이 3일 오후 서울 여의도 국회 본청 앞에서 기습시위를 벌이다 불법집회를 이유로 경찰에 연행되고 있다 2017113뉴스1 © News1 안은나 기자 한국진보연대 소속 트럼프를 반대하는 청년 학생들 3차 해산명령에도 불응…25명 체포·경찰서 분산이송 서울뉴스1 최동현 기자  3일 낮 서울 여의도 국회의사당 경내에 난입해 방한을 앞둔 도널드 트럼프 미국 대통령의 국회 방문을 반대하는 기습연좌 농성을 벌이다가 경찰에 체포된 대학생들은 진보성향 시민단체 한국진보연대 소속 회원들이었던 것으로 확인됐다   이들은 트럼프 대통령이 방한하는 7 8일에도 광화문과 국회에서 반미시위를 열 것을 예고했다 한국진보연대는 보도자료를 통해 트럼프를 반대하는 청년학생들이라는 이름의 대학생 34명이 이날 낮 12시부터 국회 본관 계단에서 전쟁위기 고조 무기강매 통상압력 트럼프를 반대한다는 구호를 외치며 연좌시위를 진행했다고 밝혔다 국회 본관 앞에 모인 대학생들은 한반도에 전쟁을 조장하는 망언을 하는 당신트럼프 미국 대통령의 방문에 반대하며 한국민에게 사과부터 해야 한다고 주장했다 이어 국회에서 연설한다면 한반도 평화를 약속해야 한다며 전쟁을 부추기는 망언을 할 것이라면 국회로 올 수 없다고 강조했다 청년학생들은 또 트럼프는 전쟁으로 수천명이 죽더라도 한반도에서 죽지 미국에서 죽지는 않을 것이라는 망언을 했다고 규탄하면서 불평등한 한미관계를 꼬집기도 했다 이들은 트럼프 대통령의 방한이 예정된 7일 저녁 서울 종로구 광화문 광장에 모여 촛불을 들고 8일에는 국회로 모여 반미시위에 동참하자고 촉구했다 앞서 서울 영등포경찰서는 이날 국회 본관 계단에서 트럼프 방한을 반대하는 연좌농성을 벌이고 3차례에 걸친 해산명령에도 불응한 혐의집회 및 시위에 관한 법률 위반로 20대 대학생 A씨 등 25명을 현행범으로 체포해 입건했다고 밝혔다 경찰에 따르면 사전에 집회신고를 하지 않은 이들은 트럼프 방한반대 등 구호를 외치며 국회 경내로 난입해 연좌농성을 벌이고 3차의 해산명령에도 불응한 혐의를 받고 있다 국회 사무총장령으로 시위대 해산신청 요청을 받은 경찰은 즉시 불법시위임을 고지하고 3차례에 걸쳐 해산을 명령했지만 A씨 등은 오히려 서로 팔짱을 끼고 본관 앞에 드러눕는 등 불복한 것으로 알려졌다 경찰은 결국 오후 1시30분쯤부터 연좌농성을 벌이던 A씨 등 대학생 25명을 현행범으로 체포 영등포경찰서·중부경찰서·방배경찰서·성동경찰서·서부경찰서로 분산 이송했다 dongchoi89 
부산 터널 공사현장서 상수도관 파열…교통혼잡	3일 오후 2시쯤 부산 금정구에 있는 한 대형마트 앞 터널 공사현장에서 상수도가 파열돼 물줄기가 치솟고 있다부산지방경찰청 제공© News1 부산ㆍ경남뉴스1 조아현 기자  3일 오후 2시쯤 부산 금정구에 있는 한 대형마트 앞 터널 공사현장에서 땅 속에 묻혀 있던 상수도관이 파열돼 물줄기가 공중으로 치솟았다  경찰은 산성터널 접속도로 공사 현장에서 굴착기가 상수도 연결부위를 건드려 파손한 것으로 보고있다  경찰과 관계당국은 현장에 출동해 인근 도로를 통제하고 상수도관 복구작업을 진행중이다 choah4586 
"왕실기록·옛 醫書는 '고령화시대 食治' 보물창고"	고병섭 한의학연구원 박사  “3년내‘식치 프로토콜’개발   생애단계별 건강정보 제공” “조선 시대 의약서 의방유취醫方類聚와 왕실 기록인 승정원 일기는 식치食治의 비밀이 가득 담긴 보물 창고입니다 음식으로 몸을 다스리던 조상의 지혜를 과학적으로 규명해 산업화하고 관련 식이 정보를 국민에게 제공해야 합니다” 한국한의학연구원 한의학융합연구부 고병섭사진 박사는 3일 “예방의학의 중요성과 바이오 천연물 소재에 대한 글로벌 연구 경쟁이 갈수록 치열해지고 있다”며 이같이 말했다 그는 “저출산 고령화 사회로 접어들며 발생하는 건강 문제 해결을 위해 식치 연구가 중요하다”고 강조했다 전날 대전 유성구 한국한의학연구원에서 열린 ‘식치 전통의료와 식품의 융합’을 주제로 한 국제심포지엄에서 기조 발표를 한 고 박사는 고문헌 연구를 통한 식치의 중요성을 설파했다 식치는 ‘음식을 통해 몸을 보양한다’는 뜻으로 조선 세종 때 발간된 의약서 의방유취 등에 기록돼 있다 “승정원일기 등을 보면 왕실 가족을 위한 탕약 처방 정보 등이 세세하게 설명돼 있습니다 예를 들어 왕실 여인들의 부인과 질환에 사용한 처방이 당귀지황탕인데 약의 독성을 막고 몸의 회복을 돕기 위한 식치 요법으로 파뿌리를 달인 청백죽을 먹게 했습니다 갱년기 여성 호르몬 분비 조절 장애에 대한 식치 레시피인 셈입니다” 고 박사는 “이런 측면에서 우리 왕실기록물과 전통 고의서는 식치를 위한 보물 창고”라며 “고문헌에 등장한 식치의 수수께끼를 규명하는 연구를 현재 정부 지원으로 한의학연구원에서 20여 명의 연구진이 진행하고 있다”고 소개했다 3년간 60억 원이 투입되는 이 연구의 목적은 3243책으로 구성된 방대한 규모의 승정원일기에 등장하는 왕실 식치 정보를 분석해 ‘식치 프로토콜’을 개발하고 관련 플랫폼을 만드는 것이다 또 식치 정보를 이용해 기능성 식치 소재를 개발하고 표준화해 과학적 근거주의를 확립하는 목적도 갖고 있다  고 박사는 “한의학과 식품 간의 바이오 융합 연구를 통한 근거주의를 확립하고 식치 소재의 유효성과 안전성을 살피는 등 체계적 연구가 절실하다“며 “전통지식 정보와 현대 바이오 기술 간 협업 연구로 국민에게 생애 단계별 건강 정보를 제공하고 기업에는 헬스케어 신산업에 도움을 줄 수 있을 것”이라고 말했다  대전김창희 기자    문화닷컴 바로가기    소설 서유기    모바일 웹   Copyrightⓒmunhwacom 대한민국 오후를 여는 유일석간 문화일보 무단 전재 및 재배포 금지 구독신청0237015555 nt   본문 내용  n
"대출 독촉 문자 200통 받아"…윤송이 부친 살해범 검찰송치(종합)	양평 전원주택 살인사건 피의자 검찰 송치여주연합뉴스 홍기원 기자  양평 전원주택 살인사건 피의자 허모씨가 검찰에 송치돼 호송차에 오르기 위해 3일 오후 경기도 여주시 여주경찰서에서 나오고 있다 2017113      옷에서 검출된 DNA·CCTV에 찍힌 행적·강도계획 수립 등 증거 뚜렷 진술 거부로 범행동기·범행도구 끝내 못밝혀 양평연합뉴스 최해민 강영훈 기자  경기 양평 전원주택 살인사건 피의자가 3일 검찰에 송치됐다     피의자가 경찰 조사과정에서 아무런 진술도 하지 않아 사건의 구체적 실체는 드러나지 않았지만 경찰은 현재까지 수집한 증거만으로도 혐의 입증은 충분할 것으로 판단하고 있다 범행현장연합뉴스 이 사건을 수사 중인 경기 양평경찰서는 강도살인 혐의로 구속된 허모41씨를 이날 오후 검찰에 송치했다     허씨는 지난달 25일 오후 7시 25분에서 오후 7시 44분 사이 양평군 윤모68씨의 자택 주차장에서 윤씨를 흉기로 10여 차례 찔러 살해한 혐의를 받고 있다     검거된 허씨는 경찰에 범행을 시인했지만 이후로 사건과 관련된 답변은 일절 하지 않는 등 비협조적인 태도로 일관해왔다     경찰은 허씨가 범행을 시인한 점 범행 시간대 현장 주변을 오간 점 입고 있던 바지와 신발에서 피해자 유전자가 검출된 점 등을 근거로 강도살인죄 입증에 무리가 없을 것으로 보고 있다     살인 범행 후 허씨가 윤씨의 벤츠를 몰고 현장을 떠난 점 윤씨의 지갑과 휴대전화를 가져간 점 등이 허씨가 강도 범행을 계획했다는 증거라는 설명이다     또 윤씨가 살해되기 직전 귀가하면서 편의점에 들러 신용카드로 막걸리를 샀는데 이 영수증도 허씨의 차량 조수석에서 피가 묻은 채로 발견됐다 경찰은 범행 후 허씨가 윤씨의 옷 주머니나 지갑을 뒤진 것으로 보고 있다     범행동기는 경제적 어려움을 해소하고자 강도 범행을 계획했다가 살인으로 이어진 것으로 잠정 결론 내렸다     허씨는 2015년 1월부터 올해 8월까지 모두 20차례에 걸쳐 8천600여만원의 대출을 받았고 이 중 3천여만원을 갚은 상태였다     올 9월부터는 대출업체로부터 200여통의 독촉 문자메시지를 받은 사실도 확인됐다     다만 애초 살인은 예정에 없었다는 분석도 나온다         범행 후 허씨가 보인 행적이나 범행 현장 수습 과정은 우발 범죄에서 나오는 패턴이라는 설명이다     하지만 허씨는 강도 범행을 치밀하게 계획한 것으로 드러났다     그는 범행 직전 고급빌라 가스총 수갑 핸드폰 위치추적 등의 단어를 인터넷에서 검색하고 범행 일주일 전에는 용인지역 고급 주택가를 둘러봤다     또 서울 강남의 한 고급 아파트 주차장에 들어갔다 나오거나 용인에서 특정 외제차를 따라다니는 듯한 영상도 확인됐다     허씨의 부친 묘소가 있는 전북 순창 야산에서 발견된 흉기는 현재까지 범행도구로 쓰인 것이 맞는지 명확히 확인되진 않았지만 경찰은 국립과학수사연구원에 의뢰해 정밀 감정하고 있다     전날 국과수는 이 흉기를 1차 감정한 결과 피해자 DNA가 검출되지 않았다는 소견을 경찰에 전달한 바 있다     하지만 시신에 남은 흉기 상흔의 깊이가 모두 흉기의 날 길이인 8㎝ 미만인데다 흉기 발견장소가 특이하고 흉기가 비교적 새것이라는 점 등을 감안하면 범행도구일 가능성은 여전히 남아있는 상황이다     만일 이 흉기가 범행도구가 아니라 하더라도 재판과정에서 범행도구 없이 살인죄가 입증된 사례는 부지기수다     현재까지 수사된 바로는 허씨는 피해자 윤씨와 사전에 알지 못하는 관계여서 범행 대상을 특정했다고 볼 근거는 없는 것으로 전해졌다     경찰은 이날 오후 현장검증을 생략하고 사건을 검찰에 송치하기로 했다     송치 직전까지 마지막 피의자 조사를 벌였으나 허씨의 태도변화가 없어 별다른 성과는 없었다     사건 송치 때까지 범행동기나 범행도구 등이 명확히 밝혀지지 않으면서 남은 숙제는 검찰로 넘어가게 됐다     경찰 관계자는 피의자가 진술을 거부해 사건 실체를 밝히는데 한계가 있었지만 범행 전후 행적과 옷에서 검출된 피해자 혈흔 등 과학적 증거를 토대로 강도살인 혐의를 적용 검찰에 송치했다라고 말했다     숨진 윤씨는 엔씨소프트 윤송이 사장의 부친이자 김택진 대표의 장인이다 피의자 허모씨연합뉴스  기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
용산 개발무산 책임 소송 2라운드에서 코레일 승소	용산국제업무지구 개발사업 부지의 모습뉴스1 자료사진© News1 법원 코레일에 책임 없다 원심 유지 판결…드림허브 상고할 것 서울뉴스1 이동희 기자  법원이 서울 용산국제업무지구 개발사업 채무부존재확인 2심 소송에서 또 다시 코레일의 손을 들어줬다  서울고등법원 제30민사부는 3일 코레일과 드림허브 프로젝트금융투자회사PFV 간 채무부존재 확인소송 2심에서 원심 유지 판결을 내렸다  이번 소송은 용산국제업무지구 개발 무산을 둘러싼 코레일과 민간출자사인 드림허브 간 책임 공방으로 시작됐다 사업비만 30조여원에 달하는 이 사업은 금융위기 이후 자금난을 겪었고 2013년 3월 대출이자 52억원을 납부하지 못하면서 사업은 무산됐다  이후 코레일이 2400억원의 이행보증금을 수령했고 양 측의 소송이 시작됐다 드림허브는 2013년 7월 사업 무산의 책임이 코레일에 있다며 2400억원의 이행보증금을 돌려달라고 소송을 제기했다  1심은 코레일의 판정승으로 끝났다 1심 재판부는 용산국제업무지구 개발 사업을 계속하지 못하게 된 책임이 코레일 측에 있다고 볼 증거가 부족하다면서 드림허브의 주장을 받아들이지 않았다  드림허브는 즉각 항소했고 재판부에 허준영 전 코레일 사장과 손우화 전 코레일 용산개발사업단장의 진술서를 제출했다 2심은 선고 기일이 수차례 연기되며 판결까지 3년 이상 걸렸다  이날 2심에서 패소한 드림허브는 즉각 상고할 계획이라고 밝혔다 yagoojoa 
달리는 화약고…났다 하면 대형사고	 창원터널 인근서 화물차 폭발 사고… 펑  불붙은 기름통 반대편 차량 9대 덮쳐  창원 터널 폭발… 3명 사망·5명 부상  지그재그 주행→ 중앙분리대 충돌→ 기름통 날아가  창원 터널 블랙박스 분석… 안전 문제 대두  창원 터널 참사 희생자 안타까운 사연  창원터널 주변 평소에도 사고 자주 발생  사고 1시간 뒤 안내 문자… 늑장 대응 논란  경찰 약 78톤 유류 실렸던 것으로 추정  경찰 윤활유와 방청유 등 196통 실린 것으로 기록  경찰 과적 운행하다 브레이크 파열 가능성      ※자세한 내용은 뉴스특급에서 확인하실 수 있습니다 꿈을 담는 캔버스 채널A  ⓒCHANNEL Awwwichannelacom 무단 전재 및 재배포 금지nt   본문 내용  n
경찰, 윤송이 부친 살해범 '강도살인' 혐의 檢송치	윤송이 엔씨소프트 사장 부친 살해 사건의 피의자 허모41·구속씨가 지난 25일 오후 9시 57분쯤 피해자의 벤츠 차량을 경기 양평 서종면 문호리 피해자 자택에서 5㎞가량 떨어진 한 무인모텔 주차장에 세워둔 뒤 주차장 밖으로 걸어 나오는 모습이 담긴 CCTV 영상 갈무리 사진경기남부경찰청·연합뉴스 이데일리 유현욱 기자 윤송이 엔씨소프트 사장의 부친 살인 사건과 관련 경찰은 3일 피의자 허모41·구속씨에게 강도살인 혐의를 적용해 기소의견으로 검찰에 송치했다 허씨는 수백 차례에 달하는 빚 독촉을 못 이겨 강도 범행을 시도했다가 결국 살인을 저지른 것으로 경찰은 잠정 결론 내렸다 경기 양평경찰서는 이날 오후 3시 여주경찰서 유치장에 수감된 허씨 신병과 관련 서류를 수원지검 여주지청으로 송치하면서 이러한 내용의 수사결과를 발표했다 허씨는 주차과정에서 시비가 붙어 우발적으로 살해했다고 진술했으나 경찰 수사 결과는 달랐다 금융거래 내역을 보면 허씨는 지난 2015년 1월부터 올해 5월 사이 개인신용 소액대출업체를 통해 총 7차례에 걸쳐 3600만원을 대출받았다 어머니 명의로도 2012년 1월부터 올해 8월까지 13차례에 걸쳐 5000여만원을 빌렸다 모두 합치면 미처 다 갚지 못한 채무만도 5400여만원에 달했다  급기야 지난 6월부터 들어오기 시작한 채무상환 요구 문자가 9월 이후에는 수백 건에 달할 정도로 빚 독촉에 시달려 온 것으로 조사됐다 카드 돌려막기를 한 것으로 보이는 정황도 있었다 이에 경찰은 허씨가 경제적 어려움을 겪다 고급주택을 대상으로 범행할 것을 계획하고 범행 당일 두 차례 현장답사를 통해 대상을 선정한 뒤 범행 현장 주변에 은신해 있던 중 차량을 타고 귀가하는 피해자를 미리 준비한 흉기로 찔러 살해한 것으로 판단했다 허씨는 지난달 25일 오후 7시 30분에서 오후 8시 50분 사이 경기 양평군 서종면에 있는 윤 사장의 아버지 윤모68씨 자택 앞 마당에서 윤씨를 흉기로 10여 차례 찔러 살해한 혐의를 받고 있다 유현욱  
학종 주요 평가 지표인 '자율동아리' 없는 학교 169개	자율동아리가 없는 학교가 169개교인 것으로 나타났다 자료사진 ⓒ연합뉴스  100개 이상 운영하는 학교가 166곳…학교간 차이 커 자율동아리는 부모와 학원의 영향에서 벗어나 학생 고유의 협력성 리더십 학업능력 등을 파악할 수 있어 대입 학생부종합전형에서 주요하게 평가되고 있음에도 자율동아리가 없는 학교가 169개교인 것으로 나타났다   국회 교육문화체육관광위원회 소속 김병욱 의원이 교육부로부터 제출받은 2016년 학교별 자율 동아리 운영현황에 따르면 전국 2238개 학교가 평균 39개의 자율동아리를 운영하고 있다   하지만 이들 학교 가운데 자율 동아리가 아예 없는 학교가 169개교이며 자율 동아리를 10개 이하로 운영하고 있어 학생들의 선택의 폭이 넓지 않은 학교도 600개로 나타났다   이에 비해 자율동아리를 100개 이상 운영하는 학교는 166곳에 달했고 자율동아리가 가장 많은 학교는 285개를 운영하는 것으로 나타나 자율동아리가 학교에 따라 편차가 큰 것으로 나타났다   동아리활동은 학업능력과 전공적합성 협력과 리더십 등의 요소를 종합적으로 판단할 수 있는 자료로 학생부종합전형에서 주요하게 평가되는 항목이다   김 의원은 “아이들이 적성과 취미에 따라 동아리 활동을 하는 것은 매우 바람직한 방향이지만 입시에 유리하게 만들기 위해 학부모와 학교 심지어 학원까지 동원되어 동아리를 만드는 것이 현실이다”고 지적하며 “현재 학생부종합전형에서 평가되는 항목 중 학생 본인의 능력이 아닌 학교나 부모 학원의 영향을 받는 부분은 최대한 배제될 수 있도록 해야 한다”고 밝혔다 데일리안 이선민 기자  ⓒ 주데일리안  무단전재 변형 무단배포 금지nt   본문 내용  n
PD수첩에 '납품비리' 제보한 김영수 전 소령 무혐의	현역 군인 장교 신분으로 MBC PD수첩에 군납비리를 고발한 행위로 최근 고소된 김영수 전 해군 소령49·사진에 대해 검찰이 무혐의 처분을 내렸다 서울남부지검 형사4부는 명예훼손 및 개인정보보호법 위반 혐의로 고소된 김 전 소령에게 지난달 23일 증거불충분 등의 이유로 불기소 처분했다고 3일 밝혔다 김 전 소령은 현역 장교 시절인 2009년 9억4000만원대 계룡대 군납비리 의혹을 제기하며 PD수첩 등에 제보했다 최근 일부 해군 예비역 고위 장교들은 지난 7월 김 전 소령을 허위사실에 의한 명예훼손 등의 혐의로 검찰에 고소했다 김 전 소령은 자신의 페이스북에 “더 이상 보복성 수사나 사찰 음해 고소를 받고 싶지 않고 특히 괘씸한 사람으로 찍혀서 사는 것도 현실적으로 힘들기도하고 이젠 많이 지쳤다”며 “비겁하게 살지는 않겠지만 그렇다고 막무가내로 직선으로만 덤비지는 않아야겠다라는 생각을 하게 된다”고 주장했다 윤승민 기자  
트럼프 방한 7∼8일 도심 집회신고 109건…일부 금지·제한	1일 서울 광화문광장에서 시민단체 관계자들이 트럼프 방한 및 전쟁 반대 집회를 연 모습연합뉴스 자료사진 서울연합뉴스 이효석 기자  서울지방경찰청은 도널드 트럼프 미국 대통령이 방한하는 7∼8일 서울 도심에 트럼프 대통령 관련 집회가 총 109건 신고됐다고 3일 밝혔다     트럼프 대통령이 7일 방문하는 청와대 인근과 광화문광장 등에 76건 8일 방문하는 국회와 국립현충원 인근에 각각 25건·4건이 신고됐다     트럼프 대통령이 묵는 숙소 인근에도 7일 저녁 등 시간대에 집회·시위 4건이 신고됐다     집회 신고는 대부분 노NO 트럼프 공동행동 등 진보·반미反美성향 단체들이 트럼프 대통령을 비판하겠다는 취지로 낸 것이고 보수·친미親美성향 단체의 집회는 일부인 것으로 알려졌다     경찰은 109건 중에 청와대 인근 집회 2건을 금지통고했다 이는 문재인 정부 출범 이후 경찰이 집회·시위를 금지통고한 첫 사례다     또 경찰은 청와대 인근 집회·시위 26건에 대해서는 행진을 제한하는 등 제한통고하고 숙소와 현충원 인근 집회에도 각 1건씩을 제한통고했다      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
